,location,latitude,longitude,elevation,condition,temperature,humidity,pressure,time
153,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,40.2,0.35,1010.91,1518393600
154,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,42.38,0.3,1011,1518397200
155,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,44.51,0.25,1010.49,1518400800
156,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.33,0.24,1009.62,1518404400
157,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.72,0.23,1008.72,1518408000
158,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.56,0.25,1008.12,1518411600
159,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.88,0.25,1007.89,1518415200
160,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.26,0.25,1008.26,1518418800
161,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,44.73,0.27,1008.66,1518422400
162,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,42.84,0.29,1009.4,1518426000
163,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.57,0.29,1010.21,1518429600
164,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,40.38,0.31,1010.92,1518433200
165,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,38.58,0.33,1011.31,1518436800
166,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,37.34,0.36,1011.52,1518440400
167,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,36.49,0.38,1011.5,1518444000
168,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.43,0.41,1020.09,1518966000
169,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.12,0.41,1020.21,1518969600
170,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.17,0.42,1020.58,1518973200
171,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,35.08,0.44,1020.87,1518976800
172,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,35.19,0.44,1020.87,1518980400
173,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,35.43,0.47,1021.52,1518984000
174,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,35.64,0.46,1021.91,1518987600
175,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,35.46,0.48,1022.02,1518991200
176,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,36.62,0.45,1022.41,1518994800
177,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,38.67,0.39,1022.07,1518998400
178,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.13,0.35,1021.89,1519002000
179,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,43.94,0.32,1021.26,1519005600
180,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.25,0.31,1019.79,1519009200
181,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,48.51,0.3,1018.57,1519012800
182,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,48.45,0.33,1017.45,1519016400
183,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,48.78,0.37,1016.97,1519020000
184,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,47.7,0.43,1017.11,1519023600
185,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.79,0.47,1017.39,1519027200
186,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.17,0.53,1017.58,1519030800
187,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,45.86,0.55,1017.56,1519034400
188,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,45.44,0.58,1017.53,1519038000
189,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,45.46,0.56,1017.45,1519041600
190,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,44.91,0.59,1016.87,1519045200
191,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,44.49,0.6,1016.38,1519048800
192,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.44,0.7,1022.63,1519570800
193,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.89,0.71,1022.5,1519574400
194,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.65,0.7,1022.03,1519578000
195,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,40.52,0.7,1021.41,1519581600
196,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.36,0.69,1020.95,1519585200
197,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.23,0.69,1021.18,1519588800
198,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,40.16,0.69,1021.5,1519592400
199,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.89,0.7,1022.34,1519596000
200,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.93,0.72,1023.08,1519599600
201,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.08,0.66,1023.03,1519603200
202,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,43.26,0.61,1022.79,1519606800
203,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.39,0.54,1021.92,1519610400
204,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,47.14,0.48,1021.15,1519614000
205,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,48.04,0.46,1020.3,1519617600
206,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,48.93,0.44,1019.81,1519621200
207,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,48.84,0.43,1019.93,1519624800
208,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,48.43,0.46,1020.31,1519628400
209,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.41,0.5,1021.1,1519632000
210,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,44.61,0.56,1022.24,1519635600
211,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,43.59,0.59,1023.05,1519639200
212,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,42.62,0.61,1023.53,1519642800
213,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,42.32,0.62,1024.04,1519646400
214,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.9,0.62,1024,1519650000
215,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,42.05,0.62,1023.93,1519653600
216,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,58.69,0.73,1017.51,1520175600
217,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,58.24,0.77,1017.65,1520179200
218,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,58.84,0.78,1017.23,1520182800
219,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,59.27,0.78,1016.1,1520186400
220,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,59.32,0.78,1015.51,1520190000
221,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,59.23,0.82,1015.37,1520193600
222,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,57.57,0.85,1014.67,1520197200
223,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,57.22,0.86,1014.27,1520200800
224,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,57.34,0.84,1013.43,1520204400
225,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,60.69,0.8,1013.02,1520208000
226,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,63.3,0.79,1012.18,1520211600
227,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,62.85,0.82,1011.53,1520215200
228,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,62.61,0.85,1009.44,1520218800
229,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,61.63,0.93,1007.64,1520222400
230,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,62.44,0.92,1006.13,1520226000
231,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,62.88,0.94,1004.93,1520229600
232,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,63.68,0.94,1003.58,1520233200
233,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,64.07,0.93,1003.47,1520236800
234,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,63.81,0.95,1002.35,1520240400
235,Tokyo Japan,35.6803997,139.7690174,4.026061058,Windy and Mostly Cloudy,64.02,0.96,1002.05,1520244000
236,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,63.8,0.92,1002.67,1520247600
237,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,62.7,0.9,1004.08,1520251200
238,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,56.99,0.9,1006.43,1520254800
239,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,52.36,0.88,1008.24,1520258400
240,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.19,0.56,1018.63,1520780400
241,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,45.22,0.52,1018.8,1520784000
242,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,44.38,0.51,1018.71,1520787600
243,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,43.45,0.51,1018.68,1520791200
244,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,42.77,0.52,1018.88,1520794800
245,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.91,0.51,1019.58,1520798400
246,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.66,0.51,1020.34,1520802000
247,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,42.44,0.5,1021.24,1520805600
248,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,45.21,0.44,1021.89,1520809200
249,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,48.24,0.38,1022.13,1520812800
250,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,51.22,0.31,1022.03,1520816400
251,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,53.5,0.29,1021.82,1520820000
252,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,55.9,0.26,1021.31,1520823600
253,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,57.06,0.28,1020.62,1520827200
254,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,58.16,0.28,1020.46,1520830800
255,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,58.26,0.3,1020.41,1520834400
